Title,Location,Price,Bedrooms,Bathrooms,Toilets,Property Type,URL
3 bedroom semi-detached duplex for rent,Lekki Phase 1,14000000,3,3,4,3 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-1/3272901-spacious-3-bedroom-duplex-with-good-fittings-in-a-secured-location
3 bedroom semi-detached duplex for rent,Lekki Phase 1,14000000,3,3,4,3 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-1/3272895-3-bedroom-semi-detached-duplex
4 bedroom semi-detached duplex for rent,Lekki Phase 1,25000000,4,4,5,4 bedroom semi-detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/semi-detached-duplexes/lagos/lekki/lekki-phase-1/3272581-four-bedroom-semidetached-duplex-with-a-bq
5 bedroom detached duplex for rent,Lekki Phase 1,60000000,5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-1/2703554-5-bedrooms-duplex
5 bedroom detached duplex for rent,Lekki Phase 1,50000000,5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3272510-spacious-5-bedrooms-detached-duplex-with-bq
5 bedroom detached duplex for rent,Lekki Phase 1,50000000,5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3235133-5bedrooms-detached-duplex-with-bq-available
5 bedroom detached duplex for rent,Lekki Phase 1,60000000,5,5,6,5 bedroom detached duplex for rent,https://nigeriapropertycentre.com/for-rent/houses/detached-duplexes/lagos/lekki/lekki-phase-1/3271957-luxury-5-bedroom-detached-residence-with-cctv
3 bedroom house for rent,Lekki Phase 1,20000000,3,3,4,3 bedroom house for rent,https://nigeriapropertycentre.com/for-rent/houses/lagos/lekki/lekki-phase-1/3272341-well-maintained-4-bedroom-terrace-duplex-with-a-massive-servant-house
3 bedroom flat / apartment for rent,Lekki Phase 1,14000000,3,3,3,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3272874-3-bedroom-duplex
2 bedroom flat / apartment for rent,Lekki Phase 1,15000000,2,2,3,2 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3267089-luxury-2-bedroom-apartment-with-bq
3 bedroom flat / apartment for rent,Lekki Phase 1,22000000,3,3,4,3 bedroom flat / apartment for rent,https://nigeriapropertycentre.com/for-rent/flats-apartments/lagos/lekki/lekki-phase-1/3272269-brand-new-luxury-3-bedroom-apartments-with-pool-gym
